Actividad,Margen Neto,Intangibles
Agricultura,0.3118,0.6423
Cría y Explotación de Animales,0.3065,0.6406
Aprovechamiento Forestal,0.2987,0.6034
Pesca,0.3472,0.6979
Minería,0.3051,0.6346
Producción y Comercialización de Gas Natural,0.3573,0.7253
Construcción,0.3236,0.6699
Manufactura y Otras Industrias,0.3395,0.6926
Comercio al por Mayor,0.381,0.7849
Comercio al por Menor,0.3573,0.7468
Servicios de Transporte,0.2541,0.526
Servicios de Correos,0.2433,0.519
Servicios de Almacenamiento,0.2687,0.5616
Medios Masivos de Información,0.3219,0.647
Servicios Financieros,0.3454,0.7081
Seguros y Fianzas,0.3118,0.6236
Servicios Inmobiliarios,0.3012,0.6054
Alquiler de Bienes Muebles e Intangibles,0.3694,0.761
Servicios Profesionales,0.2917,0.6722
Servicios Científicos,0.3166,0.6954
Servicios Técnicos,0.3343,0.6953
Corporativos,0.3587,0.7317
Servicios de Apoyo a Negocios,0.2718,0.6545
Servicios de Manejo de Residuos,0.3412,0.7131
Servicios de Mantenimiento,0.3526,0.7228
Servicios Educativos,0.3869,0.7815
Servicios de Salud,0.3241,0.6547
Servicios de Asistencia Social,0.3612,0.7332
Servicios de Esparcimiento Cultural,0.2358,0.7787
Servicios Deportivos,0.3756,0.7737
Otros Servicios Recreativos,0.2747,0.6659
Servicios de Alojamiento,0.2759,0.5739
Servicios de Preparación de Alimentos y Bebidas,0.3867,0.785
